guid;stock;title;summary;published;p_date;sentiment_summary;sentiment_title
4b0fa986-c297-3a0f-88e5-5d8ae98bc71d;AAPL;If You Invested $10K In Apple Stock 10 Years Ago, How Much Would You Have Now?;Apple Inc. (NASDAQ:AAPL), one of the world's biggest companies with a market capitalization of $4.05 trillion, designs, manufactures, and markets smartphones, personal computers, and tablets, along with related software and services. The company is ...;Sun, 16 Nov 2025 03:01:15 +0000;AAPL_2025-11-16;0.0;0.0
6375ba30-18e1-39c8-9047-b7158d1a6cf2;AAPL;Apple Just Hit a $4 Trillion Milestone: Do Experts Think It’s Time To Buy?;Apple just recently crossed a $4 trillion market cap, but growth lags rivals. Is Apple stock a buy now, or should investors wait? Here’s what experts say.;Sat, 15 Nov 2025 23:47:08 +0000;AAPL_2025-11-15;0.0387;0.0
985f8cd4-15d0-312f-8ae7-07a7b7a46625;AAPL;Former Fed governor's stock trades violated the central bank's ethics rules;A former Federal Reserve governor who retired in August listed several stock trades in her financial disclosure documents for 2024 that violated the central bank's ethics rules.  The transactions are outlined in a report released Saturday by the U.S. Office of Government Ethics, which reviewed Adriana Kugler's financial disclosures after the Fed referred them to its inspector general earlier this year.  Kugler, who unexpectedly stepped down from the Fed board Aug. 8, disclosed more than a dozen individual stock trades, including several made during financial trading “blackout periods” around the time the Federal Reserve's policymaking committee meets to set interest rates and other monetary policy.;Sat, 15 Nov 2025 22:09:55 +0000;AAPL_2025-11-15;-0.1027;-0.5267
0b7fb273-a897-3430-9e22-d1cd452201d3;AAPL;Warren Buffett’s Berkshire snaps up major tech stock, trims favorite;Berkshire Hathaway’s (BRK.A, BRK.B) latest 13F filing delivered just the kind of signal for which Warren Buffett is famous. Following years of leaning on Apple (AAPL) as the crown jewel of its stock portfolio, the firm has just trimmed its stake again, continuing a trend that has quietly reshaped ...;Sat, 15 Nov 2025 21:23:00 +0000;AAPL_2025-11-15;0.3612;0.4588
e2b067bc-56b3-3d94-9afb-b64e83eb317e;AAPL;Jury says Apple owes Masimo $634M for patent infringement;A federal jury in California ruled Friday that Apple must pay medical device maker Masimo $634 million for infringing a patent on blood oxygen monitoring technology.;Sat, 15 Nov 2025 21:07:41 +0000;AAPL_2025-11-15;-0.1027;-0.4767
5263cab6-21f0-3944-a0a6-22e74c49a0fb;AAPL;Apple is ramping up succession plans for CEO Tim Cook and may tap this hardware exec to take over, report says;John Ternus, Apple's senior VP of hardware engineering, could take control of the company as soon as next year, sources told the Financial Times.;Sat, 15 Nov 2025 20:07:18 +0000;AAPL_2025-11-15;0.0;0.2023
793726da-18b8-3ed3-8736-03eaecdf827d;AAPL;‘Streamflation’: Major streaming services have hiked prices by up to 172% since 2019. Is it still worth it?;With a full slate costing over $200, is this just cable all over again?;Sat, 15 Nov 2025 18:25:00 +0000;AAPL_2025-11-15;0.0;0.2263
e264722c-30c7-304a-88be-baffb7bb1f0c;AAPL;Meet the Unstoppable Stock That Could Join Apple, Nvidia, Microsoft, Alphabet, Amazon, Meta, and Taiwan Semiconductor in the $1 Trillion Club by 2030.;These players may continue to benefit from the AI boom.;Sat, 15 Nov 2025 18:15:00 +0000;AAPL_2025-11-15;0.4588;0.2732
9a6f2572-a96c-31aa-89e1-3b848d429073;AAPL;Despite AI bubble fears, Warren Buffett’s Berkshire Hathaway loads up on shares of hyperscaler Alphabet amid huge rally;Berkshire Hathaway revealed in a regulatory filing late Friday that it purchased 17.8 million shares of Google parent Alphabet during the third quarter.;Sat, 15 Nov 2025 17:33:34 +0000;AAPL_2025-11-15;0.296;0.7033
d42cca2f-69d6-3d8c-a4e8-f2dd21961bbf;MSFT;3 Supercharged Growth Stocks That Billionaires Are Buying;It may be a good strategy to follow the lead of billionaire investors in stock investing.;Sun, 16 Nov 2025 15:40:00 +0000;MSFT_2025-11-16;0.4404;0.3818
ca4cbc72-2e1f-3a89-abad-485a3b964e6e;MSFT;Finland's Big Idea: Turning Data Center Heat Into Power;As AI and data centers consume more power worldwide, Finland is finding a way to turn the problem into a solution. Tom Mackenzie reports from Helsinki, where energy company Helen captures excess heat from Equinix's data centers and reuses it to warm local homes, cutting emissions and costs at once. With Microsoft and others now expanding similar projects, Finland's model could redefine what it means to build a sustainable digital economy.;Sun, 16 Nov 2025 15:09:12 +0000;MSFT_2025-11-16;0.2732;0.0
b3add857-ed51-3250-98f9-e273ba54d1b6;MSFT;AI Is Making Big Tech Weaker;Balance sheets and cash flows are showing the strain of AI investments and forcing investors to think about companies differently.;Sun, 16 Nov 2025 10:30:00 +0000;MSFT_2025-11-16;-0.0516;-0.4404
13678dd5-6c36-34b2-8691-7596d5a777e1;MSFT;Is the Vanguard Utilities ETF the Smartest Investment You Can Make Today?;This fund lets you capitalize on the growing demand for data center energy.;Sun, 16 Nov 2025 09:59:00 +0000;MSFT_2025-11-16;0.3182;0.6124
882aa62d-c2e3-39e0-8401-0a105570a575;MSFT;Where Will Nebius Stock Be in 1 Year?;The emerging AI infrastructure services provider could soar even higher.;Sun, 16 Nov 2025 09:10:00 +0000;MSFT_2025-11-16;0.0;0.0
e0b2aa80-b747-3756-8a48-451a9ac83791;MSFT;Microsoft (MSFT) Expands Data Center Build-out with an AI Super Factory, Reports WSJ;Microsoft Corporation (NASDAQ:MSFT) is one of the Best Fundamentally Strong Stocks to Buy. On November 12, the Wall Street Journal reported that Microsoft Corporation (NASDAQ:MSFT) has been expanding its data center build-out with an AI super factory. This is the set of two-story structures in Atlanta, focused towards connecting seamlessly with infrastructure in other areas to harness the […];Sun, 16 Nov 2025 04:41:45 +0000;MSFT_2025-11-16;0.9325;0.6486
abcbc159-9b79-391a-957a-a518cd8b01ae;MSFT;Trump Bets Big on a Nuclear Comeback;The U.S. is pouring billions into a renewed push for nuclear power, but regulatory hurdles, high costs, and limited expertise threaten the speed and scale of the Trump administration’s ambitious plans.;Sat, 15 Nov 2025 22:00:00 +0000;MSFT_2025-11-15;-0.1531;0.0
60087e14-7d72-3808-b82f-576393f781a3;MSFT;10 Office Technologies That Changed Everything;"How did the shabby offices of the late 1700s, with their dim lights, coal-burning fireplaces and quill pens, evolve into the sleek, high-tech work environments that we know today?  Mechanical innovations dominated the 19th century; digital and electronic breakthroughs defined the 20th century, as seen in the launch of everything from financial spreadsheets to email.  One enduring theme: From the 1860s onward, an outsize share of these office-related innovations emerged in the U.S. As the French traveler Alexis de Tocqueville wrote nearly 200 years ago, America’s leading minds weren’t drawn to poetry, music or the arts.";Sat, 15 Nov 2025 17:00:00 +0000;MSFT_2025-11-15;0.296;0.0
109c9dbb-2921-3be9-8f5d-1932721b3e51;MSFT;Alphabet’s Secret Portfolio Just Bought These 2 Stocks. Should You Buy Too?;Alphabet (NASDAQ:GOOG)(NASDAQ:GOOGL) dominates the search engine market with a greater than 90% share, powering billions of daily queries through Google Search. Yet its growth extends beyond that core business. Google Cloud has captured a rising slice of the cloud computing sector, trailing only Amazon (NASDAQ:AMZN) and Microsoft (NASDAQ:MSFT), while investments in artificial intelligence position it ... Alphabet’s Secret Portfolio Just Bought These 2 Stocks. Should You Buy Too?;Sat, 15 Nov 2025 14:00:39 +0000;MSFT_2025-11-15;0.8957;0.0
8acd461b-6aad-39b6-821a-6814c6122638;MSFT;Should Microsoft’s (MSFT) Accelerating AI Integration and Data Center Expansion Prompt Investor Attention?;In recent days, Microsoft has made several high-profile announcements including the launch of new AI-focused datacenters, expanded cloud partnerships, and deeper integration of AI capabilities across its products and services. At the same time, client and partner collaborations highlighted Microsoft’s expanding footprint in healthcare, security, and enterprise AI solutions, signaling increasing adoption of its technologies in mission-critical applications. We'll explore how Microsoft's rapid...;Sat, 15 Nov 2025 12:16:05 +0000;MSFT_2025-11-15;0.4767;0.0
bdc44a07-aedb-3c7a-baad-95e66c8f3448;MSFT;MarketBeat Week in Review – 11/10 - 11/14;Stocks had a volatile week as investors continued to show concern about the valuation of AI stocks and grow pessimistic about a December rate cut;Sat, 15 Nov 2025 12:00:00 +0000;MSFT_2025-11-15;-0.5574;0.0
2ce0458a-1f72-3b62-b5f3-a9cc374b7ffe;MSFT;3 Stocks That Turned $1,000 Into $1 Million (or More);It's rare to have a 1,000-bagger stock, but investors can learn from them.;Sat, 15 Nov 2025 11:00:00 +0000;MSFT_2025-11-15;0.0;0.0
5daf7bf1-1dae-321a-9740-fae0f9b09834;MSFT;Microsoft Corporation (MSFT) Unveils Its $10 Billion Investment Plan for AI Infrastructure in a Data Center in Portugal;Microsoft Corporation (NASDAQ:MSFT) is one of the 11 best AI infrastructure stocks to buy right now. On November 11, 2025, Reuters reported that Microsoft Corporation (NASDAQ:MSFT) unveiled its $10 billion investment plan for AI infrastructure in a data center in Sines, Portugal. This marks one of Europe’s largest AI investments. In collaboration with Start Campus, Nscale, and […];Sat, 15 Nov 2025 09:43:27 +0000;MSFT_2025-11-15;0.6369;0.0
5a2e6df9-5999-3d01-8d75-1871a6a53ddb;MSFT;Nvidia Faces Growing Pressure As Amazon, Microsoft Support Curbs On AI Chip Exports To China: Report (UPDATED);Editor’s Note: This story has been updated to include a comment from a Nvidia spokesperson. Amazon.com, Inc. (NASDAQ:AMZN) and Microsoft Corporation (NASDAQ:MSFT) are reportedly lining up behind new U.S. legislation that could further curb Nvidia ...;Sat, 15 Nov 2025 09:31:23 +0000;MSFT_2025-11-15;0.0;0.4404
9215201b-5121-323b-b10c-75f3a7a26a0a;NFLX;Is Netflix’s (NFLX) Stock Split and New Ventures Shifting Its Long-Term Investment Narrative?;Earlier this week, Netflix enacted a 10-for-1 stock split following a period of strong revenue growth, robust performance in its advertising business, and anticipation around the final installment of Stranger Things. In tandem, the company’s ongoing expansion initiatives, including the addition of classic games to its app and immersive venues like Netflix House, highlight efforts to further diversify audience engagement and revenue streams. While the split is structured to make shares more...;Sun, 16 Nov 2025 21:10:18 +0000;NFLX_2025-11-16;0.9501;0.0
f92488ed-6b62-3a01-bc20-2ee7c0fc90fc;NFLX;The Netflix Stock Split Is Here. Are Shares Still a Buy?;Can the growth stock keep delivering for shareholders?;Sun, 16 Nov 2025 18:31:00 +0000;NFLX_2025-11-16;0.3818;0.296
98bfc3d5-df62-3684-8be7-738b6a837e78;NFLX;This Massive Streaming Stock Just Announced a 10-for-1 Stock Split. The Stock Is Up 26% This Year and Wall Street Thinks There Is More Room to Run.;Traditional forward stock splits usually occur after a stock has gone on a big run.;Sun, 16 Nov 2025 09:25:00 +0000;NFLX_2025-11-16;0.0;0.0
6b20d47a-adc0-3aaa-886d-8d4efc94746c;NFLX;Can Netflix (NFLX) Recover from Its Post-Earnings Pullback?;Netflix Inc. (NASDAQ:NFLX) is among the most fantastic stocks every investor should pay attention to. On November 3, Raymond James analyst Andrew Marok reaffirmed his Buy rating and a price target of $1,350 on the stock. In addition, TheFly reported that analysts from KGI Securities upgraded the stock to “Outperform” from “Neutral” with a price target […];Sat, 15 Nov 2025 16:53:29 +0000;NFLX_2025-11-15;0.6901;0.0
edce0a9b-022b-3ff9-9ce3-73ad37a34d39;NFLX;Meet the Newest Stock-Split Stock in the S&P 500. It's Soared 95,000% Since Its IPO, and It's Still a Buy Heading Into 2026, According to Wall Street.;Streaming giant Netflix is the latest company to split its stock, and it has ambitious growth plans following a stupendous 2025.;Sat, 15 Nov 2025 09:07:00 +0000;NFLX_2025-11-15;0.6908;0.0
c2b2e547-b6e0-3efb-896a-5cf44b398536;NFLX;US Equity Indexes Mixed Amid Technology Rebound;US equity indexes were mixed ahead of Friday's close amid selective dip-buying in technology and inf;Fri, 14 Nov 2025 20:56:47 +0000;NFLX_2025-11-14;0.0;0.0
7cf1e612-07f0-3ce6-a8c6-1ada64b56dad;NFLX;Chase Coleman's Strategic Moves: Meta Platforms Inc. Sees Significant Reduction;Exploring the Third Quarter 2025 13F Filing of Tiger Global Management;Fri, 14 Nov 2025 20:04:33 +0000;NFLX_2025-11-14;0.0;0.2023
d14250fc-983c-39e7-b15e-55eff6b92dc9;NFLX;US Equity Indexes Mixed as Technology Rebound Helps Lift Nasdaq, S&P 500;US equity indexes were mixed in midday trading on Friday, with technology and energy leading the sec;Fri, 14 Nov 2025 18:37:47 +0000;NFLX_2025-11-14;0.2732;0.3818
3fd3ad0b-6fd3-3592-91ac-27b4f6638cfe;NFLX;Paramount, Netflix, Comcast prep WBD bids: WSJ reports;Warner Bros. Discovery (WBD) stock climbs following reports from The Wall Street Journal that Paramount Skydance (PSKY), Netflix (NFLX), and Comcast (CMCSA) are preparing bids for the company. Yahoo Finance Senior Reporter Allie Canal outlines what investors need to know. To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.;Fri, 14 Nov 2025 17:31:30 +0000;NFLX_2025-11-14;0.0;0.0
b83c57ad-44ee-38a9-a33e-d0b6febdd608;NFLX;Merck to buy Cidara for $9.2B, Netflix nears 10-for-1 stock split;Yahoo Finance host Julie Hyman tracks today's top moving stocks and biggest market stories in this Market Minute, including tech names Nvidia (NVDA), Tesla (TSLA), and Broadcom (AVGO) in recovery mode from Thursday's tech sell-off, Merck's (MRK) plans to buy Cidara Therapeutics (CDTX) in a deal worth up to $9.2 billion, and Netflix (NFLX) prepares to execute its 10-for-1 stock split. Stay up to date on the latest market action, minute-by-minute, with Yahoo Finance's Market Minute.;Fri, 14 Nov 2025 17:06:42 +0000;NFLX_2025-11-14;0.4019;0.0
be8fc382-ec94-3a09-bfe2-139f2e8466b8;NFLX;Here's What We Learned From AST SpaceMobile's Q3 Earnings Report;Despite AST SpaceMobile missing on EPS and revenue when it reported Q3 earnings this week, there were some striking takeaways.;Fri, 14 Nov 2025 17:03:00 +0000;NFLX_2025-11-14;0.2235;0.0
632ba85e-8175-398b-aa1c-340bb8705b78;NFLX;JPMorgan Says Michael Burry Is Dead Wrong About AI;Michael Burry first grabbed headlines for his bold short against the U.S. housing market in the mid-2000s, predicting its collapse and profiting massively when the subprime mortgage crisis hit in 2008. That trade — immortalized in the book and movie “The Big Short” — turned him into a Wall Street legend. But Burry had been ... JPMorgan Says Michael Burry Is Dead Wrong About AI;Fri, 14 Nov 2025 16:16:46 +0000;NFLX_2025-11-14;-0.9209;-0.8126
6342852f-41c3-3a99-8775-107b529c5043;NFLX;WBD amends CEO Zaslav's contract, StubHub withholds Q4 guidance;Market Catalysts host Julie Hyman tracks several of the day's top trending stock tickers, including Merck (MRK) pursuing an acquisition of Cidara Therapeutics (CDTX) in a deal valued at $9.2 billion, the Wall Street Journal reporting that several media players are preparing bids on Warner Bros. Discovery (WBD), and StubHub (STUB) shares plunging after withholding its fourth quarter guidance. To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.;Fri, 14 Nov 2025 15:47:01 +0000;NFLX_2025-11-14;0.7096;0.0
a9200018-52bf-38cb-baa8-960a191e5346;NFLX;Warner Bros. Stock Rises. These Three Media Giants Are Circling, Report Says.;Get ready for a bidding war, as three of the world’s biggest media companies go toe-to-toe for the rights to Harry Potter and Batman.;Fri, 14 Nov 2025 15:00:00 +0000;NFLX_2025-11-14;-0.34;0.0
b5559cb6-8619-32fb-8c93-df686d8c3da9;NFLX;Netflix’s Stock Split Is Almost Here. Eli Lilly Could Be Next.;The drugmaker’s stock checks all the boxes for a split. the price keeps climbing, the company is on fire, and it’s a bull market.;Fri, 14 Nov 2025 06:15:00 +0000;NFLX_2025-11-14;-0.34;0.0
23c73e96-0eac-3d82-8932-c6f9cc4a860e;NFLX;Netflix (NFLX) Prepares ‘Best-Ever’ Content Lineup as Bernstein Highlights Long-Term Growth Potential;Netflix, Inc. (NASDAQ:NFLX) ranks among the best long-term stocks to buy according to D. E. Shaw. Despite the streaming giant’s recent stock fall, Bernstein SocGen Group reaffirmed its Outperform rating and $1,390 price target for Netflix, Inc. (NASDAQ:NFLX) on October 23. Following its third-quarter earnings announcement, Netflix’s stock fell 10% in spite of meeting market […];Fri, 14 Nov 2025 04:20:16 +0000;NFLX_2025-11-14;0.2023;0.3818
da476f8a-20b1-32bd-add3-6ab0b5ae111a;NFLX;Paramount, Comcast, Netflix Prepare Bids for Warner as Deadline Approaches;Warner Bros. Discovery is holding an auction process in the hopes of having it completed by the end of the year.;Thu, 13 Nov 2025 23:42:00 +0000;NFLX_2025-11-13;0.4215;0.0
555c95da-01d7-396f-8765-856d96c5e317;NFLX;Market Chatter: Paramount, Comcast, Netflix Eye Warner Bros. Discovery Assets Amid Year-End Auction;Paramount (PSKY), Comcast (CMCSA), and Netflix (NFLX) are lining up bids for Warner Bros. Discovery;Thu, 13 Nov 2025 22:56:47 +0000;NFLX_2025-11-13;0.0;0.1779
6f01d400-97d5-3ce7-8bba-5a6695e8e468;NFLX;Streaming Video Giant Expands Media Footprint With Netflix House;Streaming video giant Netflix on Wednesday opened its first major in-person amusement attraction called Netflix House in a Philadelphia suburb.;Thu, 13 Nov 2025 21:49:12 +0000;NFLX_2025-11-13;0.6705;0.1027
